gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3110621612	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/610088a9-86f9-4046-9923-6601d00e434b_image.jpg										© All rights reserved	Helge Berntsen
3110619627	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/0b569215-a807-4ad9-8ace-0d190d3dadde_image.jpg										© All rights reserved	Gunnar Stenhaug
3110619627	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/b51b33ed-6acd-4300-816f-d3553ae4d3b9_image.jpg										© All rights reserved	Gunnar Stenhaug
3110619627	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/eeec3d6a-8800-4835-9624-0799468cb71d_image.jpg										© All rights reserved	Gunnar Stenhaug
3110619627	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/5a017f99-9cb2-4ee1-8644-e8d33c99c284_image.jpg										© All rights reserved	Gunnar Stenhaug
3110616317	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/f440eced-1dee-464a-812e-ca6f0ae2b98d_image.jpg										© All rights reserved	Jan Petter Nilsen
3110558561	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/b8a23257-8d41-4600-8f16-25c210c6c30d_image.jpg										© All rights reserved	Øystein Hegge
3110558545	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/b269e8e4-8c38-48de-8252-deb62fbec9c0_image.jpg										© All rights reserved	Siri Rysstad
3110533465	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/d78bbca4-4fba-4ed7-8ca8-8efa50213e95_image.jpg										© All rights reserved	Jostein Bidtnes
3110525545	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/77394abd-96c8-478f-b220-3555ab4dfcfc_image.jpg										© All rights reserved	Jan Petter Nilsen
3110471519	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/e105d019-0278-485a-ab0d-84542f0bf63c_image.jpg										© All rights reserved	Ole Aa. Brattfjord
3110471519	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/bda9a918-e358-4c54-9eab-f2f94d4976d7_image.jpg										© All rights reserved	Ole Aa. Brattfjord
3110471519	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/73aef54e-d454-4dbd-8df4-aedaf064aa3a_image.jpg										© All rights reserved	Ole Aa. Brattfjord
3110471519	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/f894ae9d-cde4-4757-a005-395d499cf6ad_image.jpg										© All rights reserved	Ole Aa. Brattfjord
3110432439	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/b4ca7941-a0a6-431a-b747-3c747354362b_image.jpg										© All rights reserved	Svein Harald Selliseth
3110432439	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/fff0759e-2a86-41b7-b1ce-5b3a0087ac8a_image.jpg										© All rights reserved	Svein Harald Selliseth
3110430621	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/d51a8017-2767-48ab-b66f-0d9077f70622_image.jpg										© All rights reserved	Jan Petter Nilsen
3097953311	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/32c710c3-5115-41bf-a52d-54d73e04b76b_image.jpg										© All rights reserved	Lars Herman Næss
3097953311	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/cf64d49d-8c55-4467-8dca-b8e1f92ff223_image.jpg										© All rights reserved	Lars Herman Næss
3097939551	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/08a42959-c710-437a-b3f2-f739df6b8d1e_image.jpg										© All rights reserved	Helga Saksen  Hammer
3097939551	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/30fc06c3-83f8-4590-9fa4-8e61f212e1a5_image.jpg										© All rights reserved	Helga Saksen  Hammer
3097926614	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/d3932cc1-2352-4e80-9462-abce9bbb8dc7_image.jpg										© All rights reserved	Kjell A. Kristiansen
3097905437	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/bd721a72-d7d6-416e-9c65-1d90604a9503_image.jpg										© All rights reserved	Sigurd Iversen
3097902629	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/648383e4-118c-44d4-8d81-0ab406938f9e_image.jpg										© All rights reserved	John Apeland
3097870439	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/e3b56ba2-20d3-4108-8150-0fa889cab69b_image.jpg										© All rights reserved	Dag Amundsen
3097831368	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/57332c65-6f8f-4a39-b1cc-1b1da1765f00_image.jpg										© All rights reserved	Kjell Ove Svartås
3097827397	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/ba6e43be-b9dd-4cd5-869d-9ef0cbe12a4b_image.jpg										© All rights reserved	Kjell A. Kristiansen
3097824379	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/4/78ee6e1b-ff31-4f40-9a56-f36fef627e0a_image.jpg			1 av 2.....							© All rights reserved	Kjell A. Kristiansen
3097809373	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/a453a8d2-fd21-4eea-9835-b238449762f6_image.jpg										© All rights reserved	Gregorius Toonen
3097807382	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/2b2da0d2-a624-4ef2-896a-81fc14ebaafd_image.jpg										© All rights reserved	Lars Herman Næss
3097807382	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/621fbcc9-e6c5-4ec1-8020-6937f1307977_image.jpg										© All rights reserved	Lars Herman Næss
3097807382	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/db1e04c1-0665-44ed-87ec-7ae56d68f3dc_image.jpg										© All rights reserved	Lars Herman Næss
3097807382	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/aabcdbbf-df5c-430a-aa2a-3a12ba8a9db1_image.jpg										© All rights reserved	Lars Herman Næss
3097807382	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/80ae4469-d15f-4575-89cf-0c943ba8662e_image.jpg										© All rights reserved	Lars Herman Næss
3097807382	StillImage	image/jpeg	https://www.artsobservasjoner.no/MediaLibrary/2021/5/876c6ac7-595e-4983-89c8-569873d6fe68_image.jpg										© All rights reserved	Lars Herman Næss
